"mes";"dia";"dsem";"ptot";"pcd0";"pnin";"pbus";"inte";"meia";"grat"
4;20;1;403328;181503;391326;368601;339082;54919;9327
4;21;2;399781;161042;385194;363639;334781;55569;9431
4;22;3;1186107;397105;1112879;1070950;927704;231245;27158
4;23;4;1155082;376887;1079616;1037917;900419;228115;26548
4;24;5;1163103;382628;1087348;1042457;902236;234358;26509
4;25;6;1159136;391428;1083586;1042376;907064;226646;25426
4;26;7;799571;307356;758145;709503;651432;133866;14273
4;27;1;458030;214046;443189;412142;376722;71069;10239
4;28;2;1126788;395900;1057878;1015683;878449;224567;23772
4;29;3;1170680;407854;1096743;1053229;904030;240300;26350
4;30;4;1216024;421066;1140076;1094939;946641;241968;27415
5;1;5;394847;202831;381685;359286;383654;2881;8312
5;2;6;1120012;537466;1059523;1012817;1075606;20447;23959
5;3;7;811700;389236;774843;728512;782744;15215;13741
5;4;1;504678;273539;490226;455709;487072;7495;10111
5;5;2;1221075;560397;1154437;1107507;1149659;43365;28051
5;6;3;1204895;518844;1134560;1090013;1112411;65194;27290
5;7;4;1207669;505149;1136186;1089274;1100279;79713;27677
5;8;5;1200646;493227;1128598;1086168;1086913;87401;26332
5;9;6;1092897;407094;1021859;989214;984115;85197;23585
5;10;7;786890;323090;746606;703048;725499;47620;13771
5;11;1;463214;236066;449184;420374;431595;21892;9727
5;12;2;1027996;376913;960209;933770;918818;86924;22254
5;13;3;1064120;377984;991297;964376;944349;94657;25114
5;14;4;983742;338056;915116;893074;873661;88257;21824
5;15;5;994088;339587;923515;901911;884442;90521;19125
5;16;6;1043361;365811;969860;948474;926875;93621;22865
5;17;7;744831;298747;703347;667690;678553;53312;12966
5;18;1;433524;213095;418822;392213;398035;25997;9492
5;19;2;1048493;374370;976022;954740;922214;102414;23865
5;20;3;1049277;362277;974501;950645;916993;108067;24217
5;21;4;1004078;339167;930757;913140;876076;106548;21454
5;22;5;1025452;350294;950584;932778;889617;112730;23105
5;23;6;1018271;356611;944954;926245;887063;109728;21480
5;24;7;714649;291605;674306;641025;642424;59315;12910
5;25;1;422639;211814;408553;384089;384214;29220;9205
5;26;2;1041149;381846;968636;946562;896335;120187;24627
5;27;3;1030833;368903;956656;936449;882357;123864;24612
5;28;4;1019448;367008;945382;927651;869560;126152;23736
5;29;5;462106;160711;429223;331918;399075;50529;12502
5;30;6;778711;279102;722476;681339;676578;84482;17651
5;31;7;704730;280356;665783;626772;631199;60722;12809
6;1;1;427186;201084;412908;386946;387909;30255;9022
6;2;2;1031101;359842;962483;920142;887007;120272;23822
6;3;3;1020215;340848;948455;908544;873323;121720;25172
6;4;4;632552;198047;585591;538757;559934;58104;14514
6;5;5;1009796;321261;936312;902213;862287;124091;23418
6;6;6;1055867;347249;980983;951962;907154;124596;24117
6;7;7;783294;290189;739910;697736;695110;73933;14251
6;8;1;466086;213444;450419;424803;417980;38788;9318
6;9;2;1085711;368968;1011382;980052;930397;130181;25133
6;10;3;1075559;355150;998809;968492;920429;131094;24036
6;11;4;1049505;348794;973614;942635;901882;125688;21935
6;12;5;691282;228447;642396;627763;626912;53450;10920
6;13;6;944232;327777;875917;853963;832402;93316;18514
6;14;7;679848;262777;642300;613281;612723;55387;11738
6;15;1;414242;195198;399862;378801;373587;32157;8498
6;16;2;977334;351663;910165;892791;860815;96721;19798
6;17;3;345096;139484;328817;315094;313191;24910;6995
6;18;4;969342;347922;902229;960532;853816;97814;17712
6;19;5;416261;164974;396809;377601;375742;31402;9117
6;20;6;968933;353480;902062;892953;857634;91521;19778
6;21;7;676104;271031;639516;613208;608592;55997;11515
6;22;1;438908;213610;424140;399505;393020;36902;8986
6;23;2;732973;269723;684534;670423;660757;59004;13212
6;24;3;713748;267370;667319;648514;642141;57852;13755
6;25;4;980062;367125;911592;887506;858932;98848;22282
6;26;5;955219;354795;886708;864703;834347;100458;20414
6;27;6;939058;361136;873483;851450;825111;93671;20276
6;28;7;493296;211597;468199;450481;445011;40095;8190
6;29;1;404793;196363;391794;369098;363897;32312;8584
6;30;2;994424;367391;928034;903755;871675;100734;22015
7;1;3;999008;359193;930042;906844;876051;100787;22170
7;2;4;1014025;353644;941941;919194;887882;104013;22130
7;3;5;1023242;356422;951981;927479;899797;101787;21658
7;4;6;396678;158637;377855;363607;359871;28848;7959
7;5;7;703276;270159;666474;637097;629737;60965;12574
7;6;1;456385;210088;441531;417746;409032;38288;9065
7;7;2;1053497;379562;982707;969309;927680;101743;24074
7;8;3;744189;245320;692645;691220;671266;60451;12472
7;9;4;991317;338978;920821;911285;872050;98997;20270
7;10;5;1004752;340665;931715;916844;882889;101065;20798
7;11;6;994668;340102;922833;905228;876639;98058;19971
7;12;7;679177;255220;640872;617705;610631;57591;10955
7;13;1;452798;208344;437820;417245;404787;38592;9419
7;14;2;1028083;353587;956179;939454;886813;119133;22137
7;15;3;1056846;349098;980201;962195;899656;133830;23360
7;16;4;1056935;344957;979443;965571;895756;138201;22978
7;17;5;1036357;333750;959729;946122;876689;137612;22056
7;18;6;1030159;338700;954524;940404;875057;134601;20501
7;19;7;754358;284134;711825;680575;661398;80156;12804
7;20;1;457000;210681;441678;416884;401548;46255;9197
7;21;2;1050072;357339;976096;962545;886847;140513;22712
7;22;3;1035682;341448;960122;946970;869204;143881;22597
7;23;4;1050835;347250;973682;959262;878113;149515;23207
7;24;5;1030086;343074;954715;943432;861172;147628;21286
7;25;6;1046255;360865;970980;953441;877332;146901;22022
7;26;7;756662;299789;714877;684258;655441;88490;12731
7;27;1;463167;222201;448225;424736;400239;53692;9236
7;28;2;1062609;377972;988612;974213;875342;163710;23557
7;29;3;1058435;367572;982505;968068;866158;168125;24152
7;30;4;1070307;369674;992898;979718;874726;171638;23943
7;31;5;1085331;365594;1006812;994723;891338;170556;23437
8;1;6;1108965;370423;1030656;1016305;922440;162397;24128
8;2;7;792480;292951;749616;723751;682828;96315;13337
8;3;1;473593;210412;457952;436164;412838;51295;9460
8;4;2;1130816;373943;1054160;1038446;928078;178016;24722
8;5;3;1144972;363432;1063420;1049326;933196;186010;25766
8;6;4;1147680;360358;1064190;1051802;935265;187397;25018
8;7;5;1145484;357284;1061191;1049015;933397;187369;24718
8;8;6;1136537;362730;1054205;1041404;934373;179225;22939
8;9;7;832653;305595;787673;755197;714069;104871;13713
8;10;1;483001;220938;467441;444780;422031;51189;9781
8;11;2;1048225;351529;973230;964051;888327;137057;22841
8;12;3;1122235;345343;1038057;1028789;906502;192592;23141
8;13;4;1123829;346837;1039060;1031570;906877;193661;23291
8;14;5;1124511;356576;1041144;1034262;913085;188976;22450
8;15;6;492211;193990;468750;451357;430697;53429;8085
8;16;7;759395;302302;719720;693826;656523;90188;12684
8;17;1;463608;221254;448640;430178;403602;51310;8696
8;18;2;1178175;411654;1097486;1094110;959373;195466;23336
8;19;3;1164682;391247;1080490;1079637;941769;199946;22967
8;20;4;1164991;389183;1079628;1076845;940294;201848;22849
8;21;5;1156150;387853;1071358;1067680;933500;200632;22018
8;22;6;1138320;394313;1055976;1051468;925581;191902;20837
8;23;7;802592;320628;758762;733007;681270;109169;12153
8;24;1;463852;228020;448244;427142;399221;55830;8801
8;25;2;1160885;415122;1079870;1072970;934117;203431;23337
8;26;3;1152304;402778;1068661;1061706;922172;206615;23517
8;27;4;1147219;403855;1064154;1056536;915893;207907;23419
8;28;5;1149587;411389;1066192;1059552;918424;207850;23313
8;29;6;1151070;423306;1070378;1059706;931036;197050;22984
8;30;7;830383;332756;786118;758059;703730;113470;13183
8;31;1;490689;229464;474316;453102;422911;58427;9351
9;1;2;1211413;419901;1129051;1117724;980301;205895;25217
9;2;3;1203788;395888;1118262;1116794;967840;211224;24724
9;3;4;1199326;386657;1112150;1108362;963787;211037;24502
9;4;5;1187794;379603;1100714;1097404;955529;208902;23363
9;5;6;1198108;392204;1111317;1110385;974644;199541;23923
9;6;7;839393;316241;794350;787977;713340;113494;12559
9;7;1;485489;224944;469753;458772;418417;58057;9015
9;8;2;1211613;404084;1126959;1135307;976278;211512;23823
